Member ID,Last name,First name,Street,Apt/Ste/Unit,New Address,City,State,Country,Zip Code,Dues amount,Membership end date,Member type
sakaguchiabbas@email.com,Sakaguchi,Abbas,25 Dyas Rd,Ste. 101,25 Dyas RdSte. 101,North York,ON,Canada,M3B 1V7,$99,"Sunday, March 27, 2022",Young Professional
dorionrichard@email.com,Dorion,Richard,7101 Notre Dame St ,,7101 Notre Dame St ,Montreal,QC,Canada,H1N 2G4,"$2,499",2/29/2022,Lifetime Member
gougeonsanjay@email.com,Gougeon,Sanjay,8580 Esplanade Ave,,8580 Esplanade Ave,Montreal,QC,Canada,H2P 2R8,$199,"Tuesday, November 9, 2021",Professional Member
wrightmohamed@email.com,Wright,Mohamed,135 Dundas St,,135 Dundas St,Cambridge,ON,Canada,N1R 5X1,$999,"Tuesday, May 31, 2022",Sponsor
romanmarian@email.com,Roman,Marian,135 Dundas St,,135 Dundas St,Cambridge,ON,Canada,N1R 5X1,$99,"Tuesday, May 31, 2022",Young Professional
mcdiarmidqasim@email.com,McDiarmid,Qasim,979 Cameron St,,979 Cameron St,Cumberland,ON,Canada,K4C 1A1,$199,"Saturday, December 11, 2021",Professional Member
ouelletanthony@email.com,Ouellet,Anthony,5600 Côte de Liesse,,5600 Côte de Liesse,Mont-Royal,QC,Canada,H4T 4L1,$299,"Wednesday, November 16, 2022",Chapter
luehofbill@email.com,Luehof,Bill,155 Oakdale Rd,Unit 109,155 Oakdale RdUnit 109,North York,ON,Canada,M3N 1W2,$149,"Tuesday, May 31, 2022",Academic Professional
allairetony@email.com,Allaire,Tony,805 Route 143,,805 Route 143,St Bonaventure,QC,Canada,J0C 1C0,$199,"Thursday, March 31, 2022",Professional Member
kitherluc@email.com,Kither,Luc,13 Alleyne Ave,,13 Alleyne Ave,ARMADALE,VIC,Australia,3143,$149,"Wednesday, November 30, 2022",Academic Professional
allisonchristian@email.com,Allison,Christian,1068 Glenashton Dr,,1068 Glenashton Dr,Oakville,ON,Canada,L6H 4C1,$199,"Tuesday, April 5, 2022",Professional Member
